SpeciesCode,ScientificName,CommonName,Tree Type,SppValueAssignment,Species Rating (%),Basic Price ($/sq in),Palm Trunk Cost($/ft),Replacement Cost ($),TAr (sq Inches),region
CAMO,Castanea mollissima,Chinese chestnut,BDM,BDM OTHER,45,66,0,530,7.0650048828125,PiedmtCLT
CAOV,Carya ovata,Shagbark hickory,BDL,BDL OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
CASP,Catalpa speciosa,Northern catalpa,BDM,BDM OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
CATO,Carya tomentosa,Mockernut hickory,BDL,BDL OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
CE2,Celtis species,Hackberry,BDL,BDL OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
CEAT,Cedrus atlantica,Atlas cedar,CEM,CEM OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
CECA,Cercis canadensis,Eastern redbud,BDS,BDS OTHER,72,66,0,530,7.0650048828125,PiedmtCLT
CEDE,Cedrus deodara,Deodar cedar,CEL,CEL OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
CEJA,Cercidiphyllum japonicum,Katsura tree,BDL,BDL OTHER,57,66,0,530,7.0650048828125,PiedmtCLT
CELA,Celtis laevigata,Sugarberry,CEL,CEL OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
CEOC,Celtis occidentalis,Northern hackberry,BDL,BDL OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
CHLA2,Chamaecyparis lawsoniana,Port Orford cedar,CEL,CEL OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
CHPI,Chamaecyparis pisifera,Sawara false cypress,CES,CES OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
CHRE,Chionanthus retusus,Chinese fringe tree,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
CHTH,Chamaecyparis thyoides,Atlantic white cedar,CEM,CEM OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
CHVI,Chionanthus virginicus,Fringe tree,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
CLLU,Cladrastis kentukea,Yellowwood,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
CLTR,Clerodendrun trichotomum,Harlequin glorybower,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
