SpeciesCode,ScientificName,CommonName,Tree Type,SppValueAssignment,Species Rating (%),Basic Price ($/sq in),Palm Trunk Cost($/ft),Replacement Cost ($),TAr (sq Inches),region
CRPH,Crataegus phaenopyrum,Washington hawthorn,BDS,BDS OTHER,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
CR,Crataegus  species,Hawthorn,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
CUAN,Cupaniopsis anacardioides,Carrotwood,BES,BES OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
CULE,x Cupressocyparis leylandii,Leyland cypress,CEM,CEM OTHER,10,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
CUAR,Cupressus arizonica,Arizona cypress,CEM,CEM OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
CUMA,Cupressus macrocarpa,Monterey cypress,CEL,CEL OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
CUSE,Cupressus sempervirens,Italian cypress,CEM,CEM OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
CYSC4,Cytisus scoparius,Scotchbroom,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
DAIM,Dahlia imperialis,Tree dahlia,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
DIVI,Diospyros virginiana,Common persimmon,BDS,BDS OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
DOVI,Dodonaea viscosa,Florida hopbush,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
DRDR,Dracaena draco,Dragon tree,PES,PES OTHER,50,0,25,650,15,CaNCCoJBK
ERDE,Eriobotrya deflexa,Bronze loquat,BES,BES OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
ERJA,Eriobotrya japonica,Loquat tree,BES,BES OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
EUCI,Eucalyptus cinerea,Silver dollar eucalyptus,BEM,EUGL,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
EUCI2,Eucalyptus citriodora,Lemonscented gum,BEL,EUGL,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
EUFI81,Eucalyptus ficifolia,Redflower gum,BEM,EUGL,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
EUGL,Eucalyptus globulus,Blue gum eucalyptus,BEL,EUGL,10,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
EUGU,Eucalyptus gunnii,Cicer gum eucalyptus,BEL,EUGL,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
EULE2,Eucalyptus lehmannii,Bushy yate,BES,EUGL,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
EULE,Eucalyptus leucoxylon,White ironbark,BEM,EUGL,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
EUMA,Eucalyptus macrocarpa,Bluebush,BES,EUGL,10,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
EUNI,Eucalyptus nicholii,Willow-leaved gimlet,BEM,EUGL,70,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
EUPA26,Eucalyptus parvula,Kybean gum,BES,EUGL,10,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
EUPO,Eucalyptus polyanthemos,Sliver dollar gum eucalyptus,BEL,EUGL,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
EURU,Eucalyptus rudis,Desert gum eucalyptus,BEL,EUGL,30,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
EUSI,Eucalyptus sideroxylon,Red ironbark,BEL,EUGL,10,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
EU1,Eucalyptus  species,Gum,BEL,EUGL,10,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
EUTO11,Eucalyptus torquata,Coral gum,BES,EUGL,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
EUNY,Eucryphia x nymansensis,Namansay' eucryphia,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
EUPA2,Eugenia paniculata,Brush cherry,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
EUSM,Eugenia smithii,Lilly-pilly tree,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
FASY,Fagus sylvatica,European beech,BDL,BDL OTHER,70,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
FESE,Feijoa sellowiana,Pineapple guava,BES,BES OTHER,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
FIBE,Ficus benjamina,Benjamin fig,BEM,BEM OTHER,10,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
FICA,Ficus carica,Common fig,BDS,BDS OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
FIEL,Ficus elastica,Rubber plant,BES,BES OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
FIRE4,Ficus retusa ssp. nitida,Indian laurel fig,BEM,BEM OTHER,30,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
FRAN2,Fraxinus angustifolia,Raywood ash,BDM,FRVE,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
FR,Fraxinus  species,Ash,BDM,FRVE,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
FRUH,Fraxinus uhdei,Evergreen ash,BDL,BDL OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
FRVE,Fraxinus velutina,Velvet ash,BDM,FRVE,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
FRCA6,Fremontodendron californicum,California flannelbush,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
FRME2,Fremontodendron mexicanum,Mexican flannelbush,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
GAEL,Garrya elliptica,Wavyleaf silktassel,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
GEPA,Geijera parviflora,Wilga; australian willow,BEM,BEM OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
GIBI,Ginkgo biloba,Ginkgo,BDM,GIBI,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
GLTR,Gleditsia triacanthos,Honeylocust,BDM,ROPS,10,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
GRRO,Grevillea robusta,Silk oak,BEL,BEL OTHER,10,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
HASU,Hakea suaveolens,Sweet hakea; scented hakea,CES,CES OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
HEAR,Heteromeles arbutifolia,Christmasberry,BES,BES OTHER,30,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
HISY,Hibiscus syriacus,Rose-of-sharon,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
HYFL,Hymenosporum flavum,Sweetshade; Australian fragipani,BES,BES OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
ILAL,Ilex altaclarensis,Wilson holly,BES,BES OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
ILCO2,Ilex cornuta,Chinese holly,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
JAMI,Jacaranda mimosifolia,Jacaranda,BDM,BDM OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
JA6,Jasminum  species,Jasmine,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
JUNI,Juglans nigra,Black walnut,BDL,BDL OTHER,50,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
JURE,Juglans regia,English walnut,BDM,BDM OTHER,30,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
JUCA1,Juniperus californica,California juniper,CEM,CEM OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
JUCH,Juniperus chinensis,Chinese juniper,CES,CES OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
JUOC,Juniperus occidentalis,Western juniper,CEL,CEL OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
JU,Juniperus  species,Juniper,CES,CES OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
KOBI,Koelreuteria bipinnata,Chinese flame tree,BDM,BDM OTHER,70,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
KOEL,Koelreuteria elegans,Flamegold,BDM,BDM OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
LAIN,Lagerstroemia indica,Common crapemyrtle,BDS,BDS OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
LAPA,Lagunaria patersonii,Primrose tree; cow itch tree,BEM,BEM OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
LANO,Laurus nobilis,Laurel de olor,BEM,BEM OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
LELA12,Leptospermum laevigata,Coastal teatree,BES,BES OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
LIJA,Ligustrum japonicum,Ligustro,BES,BES OTHER,30,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
LILU,Ligustrum lucidum,Chinese privet,BEM,BEM OTHER,30,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
LIOV,Ligustrum ovalifolium,California privet,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
LIFO,Liquidambar formosana,Chinese sweet gum,BDM,BDM OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
LIST,Liquidambar styraciflua,Sweetgum,BDM,LIST,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
LITU,Liriodendron tulipifera,Tulip tree,BDL,LITU,30,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
LIDE,Lithocarpus densiflorus,Tanoak,BEL,BEL OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
LYRA,Lycianthes rantonnei,Paraguay nightshade,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
LYFL,Lyonothamnus floribundus,Lyontree,BEM,BEM OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
MATI,Machaerium tipu,Tipa,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,90,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
MASO,Magnolia x soulangiana,Chinese magnolia; Saucer magnolia,BDS,BDS OTHER,90,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
MAST,Magnolia stellata,Star magnolia,BDS,BDS OTHER,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PYIO,Malus ioensis,Prairie crabapple,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
MAPU,Malus pumila,Paradise apple,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
MA2,Malus  species,Apple,BDS,BDS OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
MASY2,Malus sylvestris,Common crabapple,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
MABO,Maytenus boaria,Mayten,BEM,BEM OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
MELE,Melaleuca leucadendra,Punk tree,BEM,BEM OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
MELI7,Melaleuca linariifolia,Cajeput tree,BES,BES OTHER,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
MENE,Melaleuca nesophila,Pink melaleuca,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
MEQU,Melaleuca quinquenervia,Cajeput ,BEM,BEM OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
MEST,Melaleuca styphelioides,Melaleuca,BEM,BEM OTHER,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
MEAZ,Melia azedarach,Chinaberry,BDM,BDM OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
MEGL,Metasequoia glyptostroboides,Dawn redwood,BDL,BDL OTHER,90,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
MEEX,Metrosideros excelsus,New zealand christmas tree,BEM,BEM OTHER,90,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
MOAR,Montanoa arborescens,Daisy tree,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
MYCA,Morella californica,Pacific bayberry,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
MOAL,Morus alba,White mulberry,BDM,BDM OTHER,30,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
MUPA3,Musa x paradisiaca,French plantain,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
MYLA,Myoporum laetum,Mioporo,BES,BES OTHER,30,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
NEOL,Nerium oleander,Oleander,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
NIGL,Nicotiana glauca,Tree tobacco,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
NYSY,Nyssa sylvatica,Black tupelo,BDM,BDM OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
OLEU,Olea europaea,Olive,BEM,BEM OTHER,70,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
OPFI,Opuntia ficus-indica,Tuna cactus,CES,CES OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
OTHER,Other,Other,BDM,BDM OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
BR,Brahea  species,Palm(brahea),PES,PES OTHER,50,0,143,2495,15,CaNCCoJBK
PEAM,Persea americana,Avocado,BEM,BEM OTHER,30,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
PHCA,Phoenix canariensis,Canary island date palm,PEL,PEL OTHER,70,0,133,3995,15,CaNCCoJBK
PHDA4,Phoenix dactylifera,Date palm,PEL,PEL OTHER,30,0,43,1345,15,CaNCCoJBK
PHRO,Phoenix roebelenii,Pygmy date palm,PES,PES OTHER,50,0,130,2300,15,CaNCCoJBK
PHFR,Photinia x fraseri,Fraser photinia,BES,BES OTHER,30,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PH18,Phyllostachys  species,Bamboo,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PIBR2,Pinus brutia,Turkish pine,CEM,PIBR2,90,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
PIPU,Picea pungens,Blue spruce,CEL,CEL OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
PICA,Pinus canariensis,Canary island pine,CEL,PIRA,90,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
PICE,Pinus cembroides,Mexican pinyon,CES,PIRA,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
PICO2,Pinus coulteri,Coulter pine,CEL,PIRA,70,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
PICO5,Pinus contorta 'bolanderi',Bolander beach pine,CES,PICO5,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PIHA,Pinus halepensis,Aleppo pine,CEL,PIRA,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
PIPA4,Pinus patula,NCN,CEL,PIRA,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PIPI2,Pinus pinea,Itailian stone pine,CEL,PIRA,70,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
PIRA,Pinus radiata,Monterey pine,CEL,PIRA,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
PI2,Pinus  species,Pine,CEM,PIRA,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
PITH,Pinus thunbergiana,Japanese black pine,CEL,PIRA,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PITO2,Pinus torreyana,Torrey pine,CEL,PIRA,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
PICH,Pistacia chinensis,Chinese pistache,BDM,PICH,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PICR,Pittosporum crassifolium,Stiffleaf cheesewood,BES,PIUN,30,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PIEU,Pittosporum eugenioides,Tarata,BES,PIUN,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PIRH,Pittosporum rhombifolium,Queensland pittosporum,BES,PIUN,30,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PI23,Pittosporum  species,Cheesewood,BES,PIUN,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PITO,Pittosporum tobira,Japanese pittosporum,BES,PIUN,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PIUN,Pittosporum undulatum,Victorian box,BEM,PIUN,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PIVI5,Pittosporum viridiflorum,Cape cheesewood,BES,PIUN,30,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PLAC,Platanus hybrida,London planetree,BDL,PLAC,90,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
PLRA,Platanus racemosa,California sycamore,BDL,BDL OTHER,70,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
POGR2,Podocarpus gracilior,Fern pine,BEL,BEL OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
POMA,Podocarpus macrophyllus,Yew podocarpus,BES,BES OTHER,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
POAL,Populus alba,White poplar,BDL,BDL OTHER,10,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
POBA,Populus balsamifera,Balsam poplar,BDL,BDL OTHER,70,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
POFR,Populus fremontii,Fremont cottonwood,BDL,BDL OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
PONI,Populus nigra,Black poplar,BDL,BDL OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
POTR1,Populus tremuloides,Quaking aspen,BDM,BDM OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
PRAM2,Prunus amygdalus,Almendro,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PRAR,Prunus armeniaca,Apricot,BDS,BDS OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PRBL,Prunus blieriana,Blierana plum,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PRCA,Prunus caroliniana,Carolina laurelcherry,BDS,BDS OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PRCE,Prunus cerasifera,Cherry plum,BDS,PRCE,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PRDO,Prunus domestica,Common plum,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PRIL,Prunus ilicifolia,Hollyleaf cherry,BDS,BDS OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PRLY,Prunus ilicifolia ssp. lyonii,Catalina cherry,BDS,BDS OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PRPE2,Prunus persica,Peach,BDS,BDS OTHER,30,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PRPI,Prunus pissardii,Purpleleaf plum,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PRSE2,Prunus serrulata,Kwanzan cherry,BDS,BDS OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PR,Prunus  species,Plum,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PRYE,Prunus yedoensis,Yoshino flowering cherry,BDS,BDS OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PSME,Pseudotsuga menziesii,Douglas fir,CEL,CEL OTHER,50,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
PTTR,Ptelea trifoliata,Common hoptree,BDS,BDS OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PYSP,Pyracantha  species,Firethorn,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
PYCA,Pyrus calleryana,Callery pear,BDM,PYCA,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PYCO,Pyrus communis,Common pear,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
PYKA,Pyrus kawakamii,Evergreen pear,BES,PYKA,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
QUAG,Quercus agrifolia,Coastal live oak; California live oak,BEL,QUAG,90,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
QUCH,Quercus chrysolepis,Canyon live oak,BEL,QUAG,90,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
QUCO,Quercus coccinea,Scarlet oak,BDL,QUAG,90,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
QUIL2,Quercus ilex,Roble negro,BEL,QUAG,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
QUKE,Quercus kelloggii,California black oak,BEL,QUAG,90,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
QULO,Quercus lobata,California white oak,BDL,QUAG,90,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
QUPA,Quercus palustris,Pin oak,BDL,QUAG,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
QURO,Quercus robur,English oak,BDL,QUAG,70,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
QURU,Quercus rubra,Northern red oak,BDL,QUAG,90,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
QU,Quercus  species,Oak,BDL,QUAG,90,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
QUSU,Quercus suber,Cork oak,BEL,QUAG,90,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
QUVI,Quercus virginiana,Live oak,BEL,QUAG,90,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
RHIN2,Rhaphiolepis,Indian hawthorn,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
RHSP1,Rhododendron  species,Rhododendron,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
RHLA,Rhus lancea,African sumac,BES,BES OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
RHOV,Rhus ovata,Sugar sumac,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
ROPS,Robinia pseudoacacia,Black locust,BDM,ROPS,10,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
SABA,Salix x sepulcralis Simonkai,Weeping willow,BDM,BDM OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
SADI,Salix discolor,Pussy willow,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
SALA1,Salix lasiolepis,Arroya willow,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
SALU,Salix lucida,Shining willow,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
SAMA,Salix matsudana,Corkscrew willow,BDM,BDM OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
SA,Salix  species,Willow,BDM,BDM OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
SA12,Salvia  species,Sage,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
SACA,Sambucus nigra ssp. canadensis,Common elderberry,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
SC3,Schefflera  species,Schefflera,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
SCMO,Schinus molle,California peppertree,BEM,BEM OTHER,50,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
SCPO,Schinus polygamus,Huingan,BES,BES OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
SCTE,Schinus terebinthifolius,Brazilian pepper,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
SESE,Sequoia sempervirens,Coast redwood,CEL,SESE,90,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
SEGI,Sequoiadendron giganteum,Giant sequoia,CEL,CEL OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
SETR,Sesbania tripetii,Scarlett wisteria,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
STNI,Strelitzia nicolai,Bird of paradise tree,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
SYRE,Syringa reticulata,Japanese tree lilac,BDS,BDS OTHER,70,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
TAIM,Tabebuia impetiginosa,Pink trumpet tree,BES,BES OTHER,70,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
TACH2,Tamarix chinensis,Fivestamen tamarisk,BDS,BDS OTHER,30,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
TABA,Taxus baccata,English yew,BES,BES OTHER,90,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
THOC,Thuja occidentalis,Northern white cedar,CEL,CEL OTHER,50,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
THPL,Thuja plicata,Western red cedar,CEL,CEL OTHER,70,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
TIUR,Tibouchina urvilleana,Princess-flower,BES,BES OTHER,50,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
TICO,Tilia cordata,Littleleaf linden,BDM,BDM OTHER,90,77.0400390625,0,345.4603125,2.24000122070313,CaNCCoJBK
TIEU,Tilia x vulgaris,Common linden,BDM,BDM OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
TRFO,Trachycarpus fortunei,Windmill palm,PES,PES OTHER,90,0,50,1100,15,CaNCCoJBK
TRSE6,Triadica sebifera,Tallowtree,BDM,BDM OTHER,30,36.36001953125,0,345.4603125,4.75,CaNCCoJBK
TRCO,Tristaniopsis conferta,Brisbane box,BEL,BEL OTHER,90,45.4600390625,0,345.4603125,3.80000244140625,CaNCCoJBK
TRLA,Tristaniopsis laurina,Water gum; kanooka,BES,BES OTHER,90,82.820078125,0,345.4603125,2.09000122070313,CaNCCoJBK
