SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
CACI,Callistemon citrinus,Lemon bottlebrush,BES,CACI,0.00,,2,B,Property Value,,,,,
CEDE,Cedrus deodara,Deodar cedar,CEL,CEDE,0.00,x,3,C,AQ Ozone dep,,,,,
CESI3,Ceratonia siliqua,Algarrobo europeo,BEM,CESI3,0.00,x,4,D,AQ NOx dep,,,,,
CICA,Cinnamomum camphora,Camphor tree,BEM,CICA,0.00,x,5,E,AQ PM10 dep,,,,,
CUAN,Cupaniopsis anacardioides,Carrotwood,BES,CUAN,0.00,n/a,6,F,AQ SOx dep,,,,,
EUFI81,Eucalyptus ficifolia,Redflower gum,BEL,EUFI81,0.00,x,7,G,AQ NOx avoided,,,,,
FIMI,Ficus thonningii,Figueira benjamin,BEM,FIMI,0.00,x,8,H,AQ PM10 avoided,,,,,
JAMI,Jacaranda mimosifolia,Jacaranda,BDS,JAMI,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
LIST,Liquidambar styraciflua,Sweetgum,BDM,LIST,0.00,n/a,10,J,AQ SOx avoided,,,,,
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
MEEX,Metrosideros excelsus,New zealand christmas tree,BEM,MEEX,0.00,x,12,L,CO2 avoided,,,,,
MEQU,Melaleuca quinquenervia,Cajeput tree,BEM,MEQU,0.00,,13,M,Natural Gas,,,,,
PHCA,Phoenix canariensis,Canary island date palm,PEL,PHCA,0.00,x,14,N,Electricity,,,,,
PHDA4,Phoenix dactylifera,Date palm,PEM,PHDA4,0.00,x,15,O,LSA,,,,,
PIBR2,Pinus brutia,Turkish pine; east mediterranean pine,CEM,PIBR2,0.00,,16,P,DBH BY AGE CLASS,,,,,
PICA,Pinus canariensis,Canary island pine,CEL,PICA,0.00,,17,Q,Numbers,,,,,
PICO5,Pinus contorta var. bolanderi,Bolander beach pine,CES,PICO5,0.00,,,R,Species Codes,,,,,
PIUN,Pittosporum undulatum,Victorian box,BEM,PIUN,0.00,,,S,Interpolation range,,,,,
PLAC,Platanus hybrida,London planetree,BDL,PLAC,0.00,,,,,,,,,
POMA,Podocarpus macrophyllus,Yew podocarpus,BES,POMA,0.00,,,,,,,,,
SCTE,Schinus terebinthifolius,Brazilian pepper,BES,SCTE,0.00,,,,,,,,,
TRCO,Tristaniopsis conferta,Brisbane box,BES,TRCO,0.00,,,,,,,,,
WARO,Washingtonia robusta,Mexican fan palm,PES,WARO,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,PLAC,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,LIST,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,JAMI,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,CEDE,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,PIBR2,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PICO5,0.00,,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,EUFI81,0.00,,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,CICA,0.00,,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,POMA,0.00,,,,,,,,,
PEL OTHER,Palm Evergreen Large Other,PEL OTHER,PEL,PHCA,0.00,,,,,,,,,
PEM OTHER,Palm Evergreen Medium Other,PEM OTHER,PEM,PHDA4,0.00,,,,,,,,,
PES OTHER,Palm Evergreen Small Other,PES OTHER,PES,WARO,0.00,,,,,,,,,
