SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
ACPL,Acer platanoides,Norway maple,BDL,ACPL,0.00,,2,B,Property Value,,,,,
ACRU,Acer rubrum,Red maple,BDL,ACRU,0.00,x,3,C,AQ Ozone dep,,,,,
ACSA1,Acer saccharinum,Silver maple,BDL,ACSA1,0.00,x,4,D,AQ NOx dep,,,,,
ACSA2,Acer saccharum,Sugar maple,BDL,ACSA2,0.00,x,5,E,AQ PM10 dep,,,,,
CASP,Catalpa speciosa,Northern catalpa,BDL,CASP,0.00,n/a,6,F,AQ SOx dep,,,,,
CECA,Cercis canadensis,Eastern redbud,BDS,CECA,0.00,x,7,G,AQ NOx avoided,,,,,
CEOC,Celtis occidentalis,Northern hackberry,BDL,CEOC,0.00,x,8,H,AQ PM10 avoided,,,,,
FRAM,Fraxinus americana,White ash,BDL,FRAM,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
FRPE,Fraxinus pennsylvanica,Green ash,BDL,FRPE,0.00,n/a,10,J,AQ SOx avoided,,,,,
GLTR,Gleditsia triacanthos,Honeylocust,BDL,GLTR,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
ILOP,Ilex opaca,American holly,BES,ILOP,0.00,x,12,L,CO2 avoided,,,,,
JUNI,Juglans nigra,Black walnut,BDL,JUNI,0.00,,13,M,Natural Gas,,,,,
MA2,Malus sp.,Apple,BDS,MA2,0.00,x,14,N,Electricity,,,,,
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,0.00,x,15,O,LSA,,,,,
MO,Morus sp.,Mulberry,BDM,MO,0.00,,16,P,DBH BY AGE CLASS,,,,,
PHCA,Phoenix canariensis,Canary island date palm,PEL,PHCA,0.00,,17,Q,Numbers,,,,,
PHDA4,Phoenix dactylifera,Date palm,PEM,PHDA4,0.00,,,R,Species Codes,,,,,
PICO5,Pinus contorta var. bolanderi,Bolander beach pine,CES,PICO5,0.00,,,S,Interpolation range,,,,,
PINI,Pinus nigra,Austrian pine,CEM,PINI,0.00,,,,,,,,,
PIPU,Picea pungens,Blue spruce,CEL,PIPU,0.00,,,,,,,,,
PIST,Pinus strobus,Eastern white pine,CEL,PIST,0.00,,,,,,,,,
PODE,Populus deltoides,Eastern cottonwood,BDL,PODE,0.00,,,,,,,,,
PYCA,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,PYCA,0.00,,,,,,,,,
QUIL2,Quercus ilex,Roble negro,BEL,QUIL2,0.00,,,,,,,,,
QURU,Quercus rubra,Northern red oak,BDL,QURU,0.00,,,,,,,,,
TICO,Tilia cordata,Littleleaf linden,BDM,TICO,0.00,,,,,,,,,
ULPU,Ulmus pumila,Siberian elm,BDL,ULPU,0.00,,,,,,,,,
WARO,Washingtonia robusta,Mexican fan palm,PES,WARO,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,FRPE,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,TICO,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,CECA,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PIST,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,PINI,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PICO5,0.00,,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,QUIL2,0.00,,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,MAGR,0.00,,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,ILOP,0.00,,,,,,,,,
PEL OTHER,Palm Evergreen Large Other,PEL OTHER,PEL,PHCA,0.00,,,,,,,,,
PEM OTHER,Palm Evergreen Medium Other,PEM OTHER,PEM,PHDA4,0.00,,,,,,,,,
PES OTHER,Palm Evergreen Small Other,PES OTHER,PES,WARO,0.00,,,,,,,,,
