SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
ACRU,Acer rubrum,Red maple,BDL,ACRU,0.00,,2,B,Property Value,,,,,
BUCA,Butia capitata,Jelly palm,PES,BUCA,0.00,x,3,C,AQ Ozone dep,,,,,
CAIL,Carya illinoinensis,Pecan,BDL,CAIL,0.00,x,4,D,AQ NOx dep,,,,,
CELA,Celtis laevigata,Sugarberry,BDL,CELA,0.00,x,5,E,AQ PM10 dep,,,,,
COFL,Cornus florida,Flowering dogwood,BDS,COFL,0.00,n/a,6,F,AQ SOx dep,,,,,
GLTR,Gleditsia triacanthos,Honeylocust,BDL,GLTR,0.00,x,7,G,AQ NOx avoided,,,,,
ILOP,Ilex opaca,American holly,BES,ILOP,0.00,x,8,H,AQ PM10 avoided,,,,,
JUVI,Juniperus virginiana,Eastern red cedar,CEM,JUVI,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
LAIN,Lagerstroemia indica,Common crapemyrtle,BDS,LAIN,0.00,n/a,10,J,AQ SOx avoided,,,,,
LIST,Liquidambar styraciflua,Sweetgum,BDL,LIST,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,0.00,x,12,L,CO2 avoided,,,,,
PHCA,Phoenix canariensis,Canary island date palm,PEL,PHCA,0.00,,13,M,Natural Gas,,,,,
PICO5,Pinus contorta var. bolanderi,Bolander beach pine,CES,PICO5,0.00,x,14,N,Electricity,,,,,
PITA,Pinus taeda,Loblolly pine,CEL,PITA,0.00,x,15,O,LSA,,,,,
PLOC,Platanus occidentalis,American sycamore,BDL,PLOC,0.00,,16,P,DBH BY AGE CLASS,,,,,
PYCA,Pyrus calleryana,Callery pear,BDM,PYCA,0.00,,17,Q,Numbers,,,,,
QULA2,Quercus laurifolia,Laurel oak,BDL,QULA2,0.00,,,R,Species Codes,,,,,
QUNI,Quercus nigra,Water oak,BDL,QUNI,0.00,,,S,Interpolation range,,,,,
QUPH,Quercus phellos,Willow oak,BDL,QUPH,0.00,,,,,,,,,
QUVI,Quercus virginiana,Live oak,BEL,QUVI,0.00,,,,,,,,,
SAPA,Sabal palmetto,Cabbage palmetto,PEM,SAPA,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,CAIL,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,PYCA,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,LAIN,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PITA,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,JUVI,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PICO5,0.00,,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,QUVI,0.00,,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,MAGR,0.00,,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,ILOP,0.00,,,,,,,,,
PEL OTHER,Palm Evergreen Large Other,PEL OTHER,PEL,PHCA,0.00,,,,,,,,,
PEM OTHER,Palm Evergreen Medium Other,PEM OTHER,PEM,SAPA,0.00,,,,,,,,,
PES OTHER,Palm Evergreen Small Other,PES OTHER,PES,BUCA,0.00,,,,,,,,,
